time	I(R10)
1.663615523241794e-02	4.709229e-04
1.663738718430123e-02	-8.593922e-05
1.663820806612093e-02	-4.572058e-04
1.663940237037520e-02	-9.989217e-04
1.664008796605797e-02	-1.309575e-03
1.664072660899539e-02	-1.598026e-03
1.664139350519056e-02	-1.899214e-03
1.664272729758091e-02	-2.501321e-03
1.664415777695732e-02	-3.146863e-03
1.664646917589284e-02	-4.189298e-03
1.664888956202193e-02	-5.280057e-03
1.665072959509648e-02	-6.108448e-03
1.665286363679267e-02	-7.068107e-03
1.665498339567437e-02	-8.020043e-03
1.665740378180345e-02	-9.105197e-03
1.665982416793254e-02	-1.018865e-02
1.666074758767424e-02	-1.060140e-02
1.666155399882324e-02	-1.096147e-02
1.666233750773034e-02	-1.131102e-02
1.666318959753971e-02	-1.169081e-02
1.666437234236141e-02	-1.221736e-02
1.666613642569922e-02	-1.300131e-02
1.666855681182830e-02	-1.407442e-02
1.667097719795739e-02	-1.514445e-02
1.667339758408648e-02	-1.621107e-02
1.667552989288282e-02	-1.714761e-02
1.667773847877652e-02	-1.811433e-02
1.667982132833522e-02	-1.902270e-02
1.668224171446431e-02	-2.007409e-02
1.668466210059340e-02	-2.112167e-02
1.668567431158541e-02	-2.155839e-02
1.668646288297243e-02	-2.189780e-02
1.668725015294775e-02	-2.223605e-02
1.668815711069063e-02	-2.262499e-02
1.668931951646780e-02	-2.312224e-02
1.669120281708087e-02	-2.392514e-02
1.669344276781847e-02	-2.487595e-02
1.669586315394756e-02	-2.589798e-02
1.669828354007665e-02	-2.691410e-02
1.670070392620573e-02	-2.792414e-02
1.670288987497114e-02	-2.883079e-02
1.670508050530814e-02	-2.973361e-02
1.670750089143723e-02	-3.072454e-02
1.670992127756631e-02	-3.170965e-02
1.671081996101522e-02	-3.207360e-02
1.671164367764633e-02	-3.240592e-02
1.671239568205022e-02	-3.270852e-02
1.671321122507391e-02	-3.303574e-02
1.671440750626992e-02	-3.351418e-02
1.671554490243538e-02	-3.396701e-02
1.671781969476631e-02	-3.486723e-02
1.672024008089540e-02	-3.581814e-02
1.672266046702448e-02	-3.676087e-02
1.672508085315357e-02	-3.769554e-02
1.672697950914321e-02	-3.842268e-02
1.672883970316318e-02	-3.912901e-02
1.673126008929227e-02	-4.003995e-02
1.673368047542136e-02	-4.094291e-02
1.673530505773876e-02	-4.154425e-02
1.673610735805651e-02	-4.183934e-02
1.673699051988385e-02	-4.216257e-02
1.673806041703610e-02	-4.255243e-02
1.673916224645711e-02	-4.295168e-02
1.674090399209557e-02	-4.357813e-02
1.674332437822466e-02	-4.444056e-02
1.674574476435374e-02	-4.529339e-02
