time	I(R16)
4.001483245750240e-02	-7.036376e-03
4.002070741367922e-02	-9.791199e-03
4.002658236985604e-02	-1.253096e-02
4.003245732603286e-02	-1.525566e-02
4.003833228220968e-02	-1.796530e-02
4.004420723838650e-02	-2.065988e-02
4.005215993566777e-02	-2.427064e-02
4.006011263294904e-02	-2.779958e-02
4.006806533023032e-02	-3.124670e-02
4.007601802751159e-02	-3.461200e-02
4.008397072479286e-02	-3.789547e-02
4.009192342207413e-02	-4.109712e-02
4.009987611935541e-02	-4.421695e-02
4.010402535271955e-02	-4.579308e-02
4.010817458608369e-02	-4.733559e-02
4.011232381944783e-02	-4.884448e-02
4.011647305281198e-02	-5.031974e-02
4.012062228617612e-02	-5.176137e-02
4.012477151954026e-02	-5.316938e-02
4.012892075290440e-02	-5.454376e-02
4.013134113903349e-02	-5.532700e-02
4.013376152516257e-02	-5.609878e-02
4.013520404896501e-02	-5.655293e-02
4.013622165138801e-02	-5.686999e-02
4.013833699287244e-02	-5.752145e-02
4.013920317886372e-02	-5.778532e-02
4.014006936485499e-02	-5.804736e-02
4.014093555084627e-02	-5.830758e-02
4.014180173683755e-02	-5.856597e-02
4.014266792282883e-02	-5.882254e-02
4.014353410882011e-02	-5.907728e-02
4.014440029481139e-02	-5.933019e-02
4.014858851071038e-02	-6.052802e-02
4.015584966909762e-02	-6.250872e-02
4.016103621080280e-02	-6.384726e-02
4.016622275250798e-02	-6.511494e-02
4.017140929421316e-02	-6.631175e-02
4.017659583591834e-02	-6.743771e-02
4.018178237762352e-02	-6.849280e-02
4.018696891932869e-02	-6.947702e-02
4.019215546103387e-02	-7.039039e-02
4.019872508052710e-02	-7.143945e-02
4.020529470002032e-02	-7.236362e-02
4.021186431951355e-02	-7.316290e-02
4.021843393900677e-02	-7.383729e-02
4.022500355850000e-02	-7.438679e-02
4.023157317799322e-02	-7.481141e-02
4.023814279748645e-02	-7.511113e-02
4.024160049195657e-02	-7.521619e-02
4.024505818642669e-02	-7.528574e-02
4.024851588089681e-02	-7.531980e-02
4.025197357536692e-02	-7.531837e-02
4.025543126983704e-02	-7.528143e-02
4.025888896430716e-02	-7.520900e-02
4.026234665877728e-02	-7.510106e-02
4.027099089495258e-02	-7.466929e-02
4.027963513112787e-02	-7.402414e-02
4.028827936730317e-02	-7.316560e-02
4.029692360347847e-02	-7.209369e-02
4.030556783965376e-02	-7.080840e-02
4.031421207582906e-02	-6.930972e-02
4.032285631200436e-02	-6.759767e-02
4.033219208707368e-02	-6.551198e-02
4.034152786214300e-02	-6.322295e-02
4.035086363721232e-02	-6.073058e-02
4.036019941228164e-02	-5.803486e-02
4.036953518735096e-02	-5.513580e-02
4.037887096242028e-02	-5.203340e-02
4.038820673748960e-02	-4.872765e-02
4.039892559034697e-02	-4.470381e-02
4.040964444320434e-02	-4.052702e-02
4.042036329606170e-02	-3.619726e-02
4.043108214891907e-02	-3.171454e-02
4.044180100177644e-02	-2.707885e-02
4.045251985463381e-02	-2.229021e-02
4.046323870749118e-02	-1.734860e-02
4.046773371030233e-02	-1.526928e-02
4.047222871311348e-02	-1.318201e-02
4.047672371592464e-02	-1.108681e-02
4.048121871873579e-02	-8.983666e-03
4.048571372154695e-02	-6.872584e-03
4.049020872435810e-02	-4.753562e-03
4.049470372716926e-02	-2.626601e-03
4.049712411329834e-02	-1.482887e-03
4.049846328275025e-02	-8.505636e-04
4.049954823968926e-02	-3.376802e-04
4.050050108581560e-02	1.137169e-04
4.050145393194194e-02	5.648518e-04
4.050240677806828e-02	1.015725e-03
4.050335962419462e-02	1.466335e-03
4.050431247032096e-02	1.916684e-03
4.050526531644730e-02	2.366770e-03
4.050621816257365e-02	2.816594e-03
4.050985941294778e-02	4.533456e-03
4.051470018520595e-02	6.810233e-03
4.052196134359320e-02	1.021036e-02
4.052783942419240e-02	1.295484e-02
4.053371750479160e-02	1.567202e-02
4.053959558539080e-02	1.836188e-02
4.054547366599000e-02	2.102443e-02
4.055135174658921e-02	2.365968e-02
4.055722982718841e-02	2.626761e-02
4.056310790778761e-02	2.884823e-02
4.056967752728084e-02	3.168703e-02
4.057624714677406e-02	3.446024e-02
4.058281676626729e-02	3.716786e-02
4.058938638576051e-02	3.980990e-02
4.059595600525374e-02	4.238636e-02
4.060252562474696e-02	4.489723e-02
4.060909524424019e-02	4.734251e-02
4.061186139981628e-02	4.834424e-02
4.061462755539238e-02	4.933063e-02
4.061739371096847e-02	5.030167e-02
4.062015986654457e-02	5.125737e-02
4.062292602212066e-02	5.219773e-02
4.062569217769676e-02	5.312274e-02
4.062845833327285e-02	5.403240e-02
4.063329910553102e-02	5.558564e-02
4.063389983841003e-02	5.577512e-02
4.063450057128904e-02	5.596366e-02
4.063510130416805e-02	5.615124e-02
4.063570203704707e-02	5.633788e-02
4.063630276992608e-02	5.652356e-02
4.063690350280509e-02	5.670829e-02
4.063750423568410e-02	5.689207e-02
4.063882501499642e-02	5.729423e-02
4.063950210410799e-02	5.749901e-02
4.064525161212765e-02	5.919709e-02
4.065100112014733e-02	6.081325e-02
4.065675062816700e-02	6.234748e-02
4.066250013618667e-02	6.379978e-02
4.066824964420634e-02	6.517016e-02
4.067399915222601e-02	6.645860e-02
4.067974866024568e-02	6.766512e-02
4.068735558807994e-02	6.912462e-02
4.069496251591420e-02	7.041988e-02
4.070256944374846e-02	7.155091e-02
4.071017637158272e-02	7.251770e-02
4.071778329941698e-02	7.332025e-02
4.072539022725125e-02	7.395856e-02
4.073299715508551e-02	7.443264e-02
4.073680061900264e-02	7.460348e-02
4.074060408291977e-02	7.473159e-02
4.074440754683690e-02	7.481696e-02
4.074821101075403e-02	7.485960e-02
4.075201447467116e-02	7.485950e-02
4.075581793858829e-02	7.481667e-02
4.075962140250542e-02	7.473110e-02
4.076826563868072e-02	7.437120e-02
4.077690987485601e-02	7.379795e-02
4.078555411103131e-02	7.301137e-02
