TIME	Vs	Vc
4.93E-04	14.1999998	6.80000019
4.94E-04	14.1999998	6.5999999
4.95E-04	14.1999998	6.5999999
4.96E-04	14.4000006	6.80000019
4.97E-04	14.1999998	6.5999999
4.98E-04	14.1999998	6.5999999
4.99E-04	14.4000006	6.80000019
5.00E-04	14.4000006	6.80000019
5.01E-04	14.4000006	6.80000019
5.02E-04	14.4000006	7
5.03E-04	14.4000006	6.80000019
5.04E-04	14.4000006	7
5.05E-04	14.4000006	6.80000019
5.06E-04	14.4000006	6.80000019
5.07E-04	14.4000006	6.80000019
5.08E-04	14.4000006	7
5.09E-04	14.4000006	6.80000019
5.10E-04	14.4000006	7
5.11E-04	14.4000006	7
5.12E-04	14.4000006	7
5.13E-04	14.4000006	7
5.14E-04	14.1999998	7
5.15E-04	14.1999998	7
5.16E-04	14.4000006	7
5.17E-04	14.4000006	7
5.18E-04	14.4000006	7.20000029
5.19E-04	14.4000006	7.20000029
5.20E-04	14.4000006	7
5.21E-04	14.4000006	7.20000029
5.22E-04	14.4000006	7
5.23E-04	14.4000006	7.20000029
5.24E-04	14.1999998	7.20000029
5.25E-04	14.1999998	7.20000029
5.26E-04	14.4000006	7.20000029
5.27E-04	14.4000006	7.20000029
5.28E-04	14.1999998	7.20000029
5.29E-04	14.4000006	7.20000029
5.30E-04	5.80000019	7.20000029
5.31E-04	-13.6000004	7.20000029
5.32E-04	-13.4000006	7.20000029
5.33E-04	-13.4000006	7
5.34E-04	-13.6000004	7
5.35E-04	-13.4000006	7
5.36E-04	-13.6000004	7
5.37E-04	-13.6000004	6.80000019
5.38E-04	-13.6000004	6.80000019
5.39E-04	-13.6000004	6.80000019
5.40E-04	-13.6000004	6.80000019
5.41E-04	-13.6000004	6.80000019
5.42E-04	-13.6000004	6.5999999
