WL; Output[dBm]; Det1_IL[dB]; Det2_IL[dB]; Det4_IL[dB]; Det3_IL
1473.130;-4.58;-67.51;-67.30;-66.87;-39.88
1473.140;-4.56;-67.54;-67.32;-66.90;-39.80
1473.150;-4.53;-67.56;-67.35;-66.92;-40.01
1473.160;-4.56;-67.53;-67.32;-66.89;-39.92
1473.170;-4.58;-67.51;-67.29;-66.87;-39.92
1473.180;-4.55;-67.54;-67.33;-66.90;-39.86
1473.190;-4.53;-67.57;-67.35;-66.93;-39.86
1473.200;-4.48;-67.61;-67.40;-66.97;-39.85
1473.210;-4.45;-67.65;-67.43;-67.01;-39.82
1473.220;-4.42;-67.67;-67.45;-67.03;-39.71
1473.230;-4.38;-67.71;-67.49;-67.07;-39.87
1473.240;-4.35;-67.75;-67.53;-67.10;-39.83
1473.250;-4.30;-67.79;-67.57;-67.15;-39.63
1473.260;-4.30;-67.80;-67.58;-67.15;-39.77
1473.270;-4.29;-67.80;-67.59;-67.16;-39.68
1473.280;-4.28;-67.81;-67.60;-67.17;-39.76
1473.290;-4.28;-67.81;-67.59;-67.17;-39.80
1473.300;-4.30;-67.80;-67.58;-67.15;-39.66
1473.310;-4.31;-67.78;-67.56;-67.14;-39.74
1473.320;-4.37;-67.73;-67.51;-67.08;-39.72
1473.330;-4.37;-67.72;-67.50;-67.08;-39.66
1473.340;-4.41;-67.69;-67.47;-67.04;-39.76
1473.350;-4.44;-67.65;-67.44;-67.01;-39.72
1473.360;-4.48;-67.62;-67.40;-66.97;-39.74
1473.370;-4.49;-67.60;-67.38;-66.96;-39.73
1473.380;-4.51;-67.58;-67.36;-66.94;-39.74
1473.390;-4.55;-67.54;-67.32;-66.90;-39.80
1473.400;-4.56;-67.53;-67.31;-66.89;-39.81
1473.410;-4.57;-67.52;-67.30;-66.87;-39.81
1473.420;-4.63;-67.46;-67.24;-66.82;-39.81
1473.430;-4.63;-67.46;-67.24;-66.82;-39.74
1473.440;-4.61;-67.48;-67.26;-66.84;-39.87
1473.450;-4.65;-67.44;-67.22;-66.80;-39.73
1473.460;-4.64;-67.45;-67.23;-66.81;-39.84
1473.470;-4.64;-67.45;-67.23;-66.80;-39.75
1473.480;-4.61;-67.48;-67.26;-66.84;-39.82
1473.490;-4.59;-67.51;-67.28;-66.86;-39.76
1473.500;-4.66;-67.44;-67.21;-66.79;-39.81
1473.510;-4.68;-67.42;-67.19;-66.77;-39.79
1473.520;-4.69;-67.40;-67.18;-66.75;-39.80
1473.530;-4.72;-67.37;-67.15;-66.72;-39.74
1473.540;-4.70;-67.39;-67.17;-66.75;-39.78
1473.550;-4.70;-67.40;-67.17;-66.75;-39.84
1473.560;-4.69;-67.40;-67.18;-66.75;-39.84
1473.570;-4.66;-67.43;-67.21;-66.78;-39.81
1473.580;-4.65;-67.44;-67.22;-66.79;-39.81
1473.590;-4.65;-67.44;-67.21;-66.79;-39.74
1473.600;-4.63;-67.47;-67.24;-66.82;-39.84
1473.610;-4.72;-67.37;-67.15;-66.72;-39.86
1473.620;-4.72;-67.37;-67.14;-66.72;-39.78
1473.630;-4.68;-67.42;-67.19;-66.77;-39.87
1473.640;-4.68;-67.41;-67.18;-66.76;-39.76
1473.650;-4.65;-67.44;-67.22;-66.79;-39.80
1473.660;-4.62;-67.47;-67.24;-66.82;-39.83
1473.670;-4.61;-67.48;-67.25;-66.83;-39.72
1473.680;-4.62;-67.47;-67.24;-66.82;-39.70
1473.690;-4.64;-67.45;-67.22;-66.80;-39.60
1473.700;-4.65;-67.45;-67.22;-66.80;-39.63
1473.710;-4.62;-67.47;-67.24;-66.82;-39.61
1473.720;-4.64;-67.46;-67.23;-66.81;-39.62
1473.730;-4.60;-67.49;-67.26;-66.84;-39.70
1473.740;-4.64;-67.45;-67.22;-66.80;-39.64
1473.750;-4.60;-67.49;-67.26;-66.84;-39.52
1473.760;-4.57;-67.52;-67.29;-66.87;-39.65
1473.770;-4.59;-67.50;-67.27;-66.85;-39.51
1473.780;-4.57;-67.53;-67.30;-66.87;-39.57
1473.790;-4.53;-67.56;-67.33;-66.91;-39.69
1473.800;-4.60;-67.50;-67.27;-66.84;-39.52
1473.810;-4.54;-67.55;-67.32;-66.90;-39.52
1473.820;-4.58;-67.51;-67.28;-66.86;-39.54
1473.830;-4.58;-67.51;-67.28;-66.86;-39.67
1473.840;-4.56;-67.53;-67.30;-66.88;-39.82
1473.850;-4.58;-67.51;-67.28;-66.86;-39.76
1473.860;-4.54;-67.56;-67.33;-66.90;-39.90
1473.870;-4.51;-67.58;-67.35;-66.93;-39.92
1473.880;-4.51;-67.59;-67.36;-66.94;-40.05
1473.890;-4.49;-67.60;-67.37;-66.95;-40.16
1473.900;-4.48;-67.62;-67.39;-66.96;-40.07
1473.910;-4.48;-67.61;-67.38;-66.96;-40.40
1473.920;-4.47;-67.62;-67.40;-66.97;-40.37
1473.930;-4.49;-67.60;-67.37;-66.95;-40.29
1473.940;-4.49;-67.60;-67.37;-66.95;-40.50
